Terim_TR,StandartKarsilik_EN,Terim_ES,Terim_PT,Terim_RU,KisaKod,NamingToken_TR,KullanimTipi,KategoriKumesi,Kaynak
Enerji,Energy,Energy,Energy,Energy,,Enerji,token,Param Token,semantic_dictionary
EnerjiSinifi,EnergyClass,EnergyClass,EnergyClass,EnergyClass,,EnerjiSinifi,param_ad,Shared Parameter,semantic_dictionary
Eng,Accessible,Accessible,Accessible,Accessible,,Eng,token,Param Token,semantic_dictionary
EngAsansorVarMi,AccessibleHasLift,AccessibleHasLift,AccessibleHasLift,AccessibleHasLift,,EngAsansorVarMi,param_ad,Shared Parameter,semantic_dictionary
EngBrailleTabela,AccessibleBrailleSignage,AccessibleBrailleSignage,AccessibleBrailleSignage,AccessibleBrailleSignage,,EngBrailleTabela,param_ad,Shared Parameter,semantic_dictionary
Engelli,Accessible,Accessible,Accessible,Accessible,,Engelli,token,Param Token,semantic_dictionary
Engelli asansörü var mı?,Is there an accessible elevator?,Is there an accesible elevator?,Is there an acessível elevator?,Is there an доступный elevator?,,Engelliasansoruvarmi?,aciklama,Description,semantic_dictionary
Engelli kapı genişliği min. 90 cm,Accessible door clear width min. 90 cm,accesible puerta libre ancho min. 90 cm,acessível porta livre largura min. 90 cm,доступный дверь чистый ширина min. 90 cm,,Engellikapigenisligimin.90cm,aciklama,Description,semantic_dictionary
Engelli otoparkı var mı?,Is there an accessible parking space?,Is there an accesible parking espacio?,Is there an acessível parking espaço?,Is there an доступный parking пространство?,,Engelliotoparkivarmi?,aciklama,Description,semantic_dictionary
Engelli rampası var mı? (TS 9111),Is there an accessible ramp? (TS 9111),Is there an accesible ramp? (TS 9111),Is there an acessível ramp? (TS 9111),Is there an доступный ramp? (TS 9111),,Engellirampasivarmi?(TS9111),aciklama,Description,semantic_dictionary
Engelli WC var mı?,Is there an accessible WC?,Is there an accesible WC?,Is there an acessível WC?,Is there an доступный WC?,,EngelliWCvarmi?,aciklama,Description,semantic_dictionary
Engelliye uygun kapı mı? (TS 9111),Is it an accessible door? (TS 9111),Is it an accesible puerta? (TS 9111),Is it an acessível porta? (TS 9111),Is it an доступный дверь? (TS 9111),,Engelliyeuygunkapimi?(TS9111),aciklama,Description,semantic_dictionary
EngGecisGenislikKoridor,AccessibleClearWidthCorridor,AccessibleClearWidthCorridor,AccessibleClearWidthCorridor,AccessibleClearWidthCorridor,,EngGecisGenislikKoridor,param_ad,Shared Parameter,semantic_dictionary
EngHissedilebilirYuzey,AccessibleTactileSurface,AccessibleTactileSurface,AccessibleTactileSurface,AccessibleTactileSurface,,EngHissedilebilirYuzey,param_ad,Shared Parameter,semantic_dictionary
EngKapiGenislik,AccessibleDoorWidth,AccessibleDoorWidth,AccessibleDoorWidth,AccessibleDoorWidth,,EngKapiGenislik,param_ad,Shared Parameter,semantic_dictionary
EngOtoparkVarMi,AccessibleHasParking,AccessibleHasParking,AccessibleHasParking,AccessibleHasParking,,EngOtoparkVarMi,param_ad,Shared Parameter,semantic_dictionary
EngRampaEgimi,AccessibleRampSlope,AccessibleRampSlope,AccessibleRampSlope,AccessibleRampSlope,,EngRampaEgimi,param_ad,Shared Parameter,semantic_dictionary
EngRampaVarMi,AccessibleHasRamp,AccessibleHasRamp,AccessibleHasRamp,AccessibleHasRamp,,EngRampaVarMi,param_ad,Shared Parameter,semantic_dictionary
EngSertifikaDurumu,AccessibleCertificateStatus,AccessibleCertificateStatus,AccessibleCertificateStatus,AccessibleCertificateStatus,,EngSertifikaDurumu,param_ad,Shared Parameter,semantic_dictionary
EngWCVarMi,AccessibleHasWC,AccessibleHasWC,AccessibleHasWC,AccessibleHasWC,,EngWCVarMi,param_ad,Shared Parameter,semantic_dictionary
Entity,Entity,Entity,Entity,Entity,,Entity,token,Param Token,semantic_dictionary
Et,Et,Et,Et,Et,,Et,token,Param Token,semantic_dictionary
Etriye,Stirrup,Stirrup,Stirrup,Stirrup,,Etriye,token,Param Token,semantic_dictionary
Etriye aralığı orta bölge (mm),Stirrup spacing in mid-zone (mm),Stirrup separación in mid-zona (mm),Stirrup espaçamento in mid-zona (mm),Stirrup шаг in mid-зона (mm),,Etriyearaligiortabolge(mm),aciklama,Description,semantic_dictionary
Etriye çapı (mm): 8 / 10 / 12,Stirrup diameter (mm): 8 / 10 / 12,Stirrup diameter (mm): 8 / 10 / 12,Stirrup diameter (mm): 8 / 10 / 12,Stirrup diameter (mm): 8 / 10 / 12,,Etriyecapi(mm):8/10/12,aciklama,Description,semantic_dictionary
Export,Export,Export,Export,Export,,Export,token,Param Token,semantic_dictionary
External,External,External,External,External,,External,token,Param Token,semantic_dictionary
Fasi,Phase,Phase,Phase,Phase,,Fasi,token,Param Token,semantic_dictionary
Faz,Phase,Phase,Phase,Phase,,Faz,token,Param Token,semantic_dictionary
Faz / etap / inşaat bölgesi,Phase / stage / construction zone,fase / etapa / construcción zona,fase / etapa / construção zona,фаза / этап / строительство зона,,Faz/etap/insaatbolgesi,aciklama,Description,semantic_dictionary
FazAlani,PhaseArea,PhaseArea,PhaseArea,PhaseArea,,FazAlani,param_ad,Shared Parameter,semantic_dictionary
FazBilgisi,PhaseInformation,PhaseInformation,PhaseInformation,PhaseInformation,,FazBilgisi,param_ad,Shared Parameter,semantic_dictionary
Filleto,Has,Has,Has,Has,,Filleto,token,Param Token,semantic_dictionary
Filleto (köşe) donatısı var mı?,Are there corner / haunch bars?,Are there esquina / haunch bars?,Are there canto / haunch bars?,Are there угол / haunch bars?,,Filleto(kose)donatisivarmi?,aciklama,Description,semantic_dictionary
Fire,Fire,Fire,Fire,Fire,,Fire,token,Param Token,semantic_dictionary
FireRating niteliği kontrol edildi mi?,Has the FireRating attribute been checked?,Has the FireRating attribute been revisado?,Has the FireRating attribute been verificado?,Has the FireRating attribute been проверено?,,FireRatingniteligikontroledildimi?,aciklama,Description,semantic_dictionary
Firmasi,Company,Company,Company,Company,,Firmasi,token,Param Token,semantic_dictionary
Fiyat,Price,Price,Price,Price,,Fiyat,token,Param Token,semantic_dictionary
Fonksiyonel / yangın / işletme zonu,Functional / fire / operational zone,Functional / incendio / operational zona,Functional / incêndio / operational zona,Functional / пожар / operational зона,,Fonksiyonel/yangin/isletmezonu,aciklama,Description,semantic_dictionary
Fonksiyonu,Function,Function,Function,Function,,Fonksiyonu,token,Param Token,semantic_dictionary
Gecis,Clear,Clear,Clear,Clear,,Gecis,token,Param Token,semantic_dictionary
Genel açıklama / uyarı notu,General description / warning note,General descripción / advertencia nota,General descrição / advertência nota,General описание / предупреждение примечание,,Genelaciklama/uyarinotu,aciklama,Description,semantic_dictionary
Genislik,Width,Width,Width,Width,,Genislik,token,Param Token,semantic_dictionary
Genişlik,Width,Ancho,Largura,Ширина,,Genislik,manual_seed,Multilingual,manual+research_seed
Geometri,Geometry,Geometry,Geometry,Geometry,,Geometri,token,Param Token,semantic_dictionary
Geometri olgunluğu / temsil seviyesi,Geometry maturity / representation level,Geometry maturity / representation nivel,Geometry maturity / representation nível,Geometry maturity / representation уровень,,Geometriolgunlugu/temsilseviyesi,aciklama,Description,semantic_dictionary
Gerekirse elemanın IFC entity karşılığı,IFC entity override for the element if required,IFC entity override for the elemento if requerido,IFC entity override for the elemento if necessário,IFC entity override for the элемент if требуется,,GerekirseelemaninIFCentitykarsiligi,aciklama,Description,semantic_dictionary
Gereksinim,Requirement,Requirement,Requirement,Requirement,,Gereksinim,token,Param Token,semantic_dictionary
Girdi,Input,Input,Input,Input,,Girdi,token,Param Token,semantic_dictionary
Giriş sıcaklığı (°C),Supply temperature (°C),Supply temperature (°C),Supply temperature (°C),Supply temperature (°C),,Girissicakligi(°C),aciklama,Description,semantic_dictionary
Grubu,Group,Group,Group,Group,,Grubu,token,Param Token,semantic_dictionary
Grup,Group,Group,Group,Group,,Grup,token,Param Token,semantic_dictionary
Guc,Power,Power,Power,Power,,Guc,token,Param Token,semantic_dictionary
Guclen,Retrofit,Retrofit,Retrofit,Retrofit,,Guclen,token,Param Token,semantic_dictionary
Guncelleme,Update,Update,Update,Update,,Guncelleme,token,Param Token,semantic_dictionary
Gurultu,Noise,Noise,Noise,Noise,,Gurultu,token,Param Token,semantic_dictionary
Guvenlik,Protection,Protection,Protection,Protection,,Guvenlik,token,Param Token,semantic_dictionary
Gövde donatısı — kirişler için (TS 500 Md.9),Side face reinforcement — for beams (TS 500 Art.9),lateral cara armadura — for beams (TS 500 Art.9),lateral face armadura — for beams (TS 500 Art.9),боковой сторона армирование — for beams (TS 500 Art.9),,Govdedonatisi—kirislericin(TS500Md.9),aciklama,Description,semantic_dictionary
Güneş ısı kazanım katsayısı SHGC/g,Solar heat gain coefficient SHGC/g,Solar heat gain coefficient SHGC/g,Solar heat gain coefficient SHGC/g,Solar heat gain coefficient SHGC/g,,GunesisikazanimkatsayisiSHGC/g,aciklama,Description,semantic_dictionary
Gürültü seviyesi NC/dB(A),Noise level NC / dB(A),Noise nivel NC / dB(A),Noise nível NC / dB(A),Noise уровень NC / dB(A),,GurultuseviyesiNC/dB(A),aciklama,Description,semantic_dictionary
Güvenlik sınıfı: IP20/IP44/IP65/IP67,Protection class: IP20 / IP44 / IP65 / IP67,Protection clase: IP20 / IP44 / IP65 / IP67,Protection classe: IP20 / IP44 / IP65 / IP67,Protection класс: IP20 / IP44 / IP65 / IP67,,Guvenliksinifi:IP20/IP44/IP65/IP67,aciklama,Description,semantic_dictionary
Güç tüketimi (W),Power consumption (W),Power consumption (W),Power consumption (W),Power consumption (W),,Guctuketimi(W),aciklama,Description,semantic_dictionary
Güçlendirme durumu,Strengthening status,Strengthening estado,Strengthening estado,Strengthening статус,,Guclendirmedurumu,aciklama,Description,semantic_dictionary
Hacim,Volume,Volumen,Volume,Объем,,Hacim,manual_seed,Multilingual,manual+research_seed
Hacmi,Volume,Volume,Volume,Volume,,Hacmi,token,Param Token,semantic_dictionary
HakedisNo,ProgressPaymentReference,ProgressPaymentReference,ProgressPaymentReference,ProgressPaymentReference,,HakedisNo,param_ad,Shared Parameter,semantic_dictionary
Hakediş / ilerleme ödeme referansı,Progress payment / interim payment reference,Progress payment / interim payment referencia,Progress payment / interim payment referência,Progress payment / interim payment ссылка,,Hakedis/ilerlemeodemereferansi,aciklama,Description,semantic_dictionary
Hava,Air,Air,Air,Air,,Hava,token,Param Token,semantic_dictionary
Hava debisi (m3/h),Air flow rate (m3/h),aire caudal rate (m3/h),ar caudal rate (m3/h),воздух поток rate (m3/h),,Havadebisi(m3/h),aciklama,Description,semantic_dictionary
Havalandirma,Ventilation,Ventilation,Ventilation,Ventilation,,Havalandirma,token,Param Token,semantic_dictionary
HavalandirmaSistemi,VentilationSystem,VentilationSystem,VentilationSystem,VentilationSystem,,HavalandirmaSistemi,param_ad,Shared Parameter,semantic_dictionary
Havalandırma sistemi tipi,Ventilation system type,Ventilation sistema tipo,Ventilation sistema tipo,Ventilation система тип,,Havalandirmasistemitipi,aciklama,Description,semantic_dictionary
Hesap,Calculation,Calculation,Calculation,Calculation,,Hesap,token,Param Token,semantic_dictionary
Hesaplanan ankraj boyu lb (mm) — TS 500 Md.8,Calculated anchorage length lb (mm) — TS 500 Art.8,Calculated anclaje longitud lb (mm) — TS 500 Art.8,Calculated ancoragem comprimento lb (mm) — TS 500 Art.8,Calculated анкеровка длина lb (mm) — TS 500 Art.8,,Hesaplananankrajboyulb(mm)—TS500Md.8,aciklama,Description,semantic_dictionary
HesapRaporNo,CalculationReportNumber,CalculationReportNumber,CalculationReportNumber,CalculationReportNumber,,HesapRaporNo,param_ad,Shared Parameter,semantic_dictionary
Hidrant tipi: İç/Dış/Yerüstü,Hydrant type: Indoor / Outdoor / Pillar,Hydrant tipo: Indoor / Outdoor / Pillar,Hydrant tipo: Indoor / Outdoor / Pillar,Hydrant тип: Indoor / Outdoor / Pillar,,Hidranttipi:Ic/Dis/Yerustu,aciklama,Description,semantic_dictionary
Hidrofor,Has,Has,Has,Has,,Hidrofor,token,Param Token,semantic_dictionary
Hidrofor sistemi var mı?,Is there a pressure booster system?,Is there a presión booster sistema?,Is there a pressão booster sistema?,Is there a давление booster система?,,Hidroforsistemivarmi?,aciklama,Description,semantic_dictionary
Hissedilebilir,Tactile,Tactile,Tactile,Tactile,,Hissedilebilir,token,Param Token,semantic_dictionary
Hissedilebilir yüzey var mı?,Is there a tactile paving surface?,Is there a tactile paving surface?,Is there a tactile paving surface?,Is there a tactile paving surface?,,Hissedilebiliryuzeyvarmi?,aciklama,Description,semantic_dictionary
Hizi,Velocity,Velocity,Velocity,Velocity,,Hizi,token,Param Token,semantic_dictionary
HVAC,HVAC,HVAC,HVAC,HVAC,,HVAC,token,Param Token,semantic_dictionary
HVAC_BasıncKaybi,HVACPressureDrop,HVACPressureDrop,HVACPressureDrop,HVACPressureDrop,,HVAC_BasincKaybi,param_ad,Shared Parameter,semantic_dictionary
HVAC_DumDamperVarMi,HVACHasSmokeDamper,HVACHasSmokeDamper,HVACHasSmokeDamper,HVACHasSmokeDamper,,HVAC_DumDamperVarMi,param_ad,Shared Parameter,semantic_dictionary
HVAC_GurultuSeviyesi,HVACNoiseLevel,HVACNoiseLevel,HVACNoiseLevel,HVACNoiseLevel,,HVAC_GurultuSeviyesi,param_ad,Shared Parameter,semantic_dictionary
HVAC_HavaDebisi,HVACAirFlowRate,HVACAirFlowRate,HVACAirFlowRate,HVACAirFlowRate,,HVAC_HavaDebisi,param_ad,Shared Parameter,semantic_dictionary
HVAC_HavaHizi,HVACAirVelocity,HVACAirVelocity,HVACAirVelocity,HVACAirVelocity,,HVAC_HavaHizi,param_ad,Shared Parameter,semantic_dictionary
HVAC_KanalMalzeme,HVACDuctMaterial,HVACDuctMaterial,HVACDuctMaterial,HVACDuctMaterial,,HVAC_KanalMalzeme,param_ad,Shared Parameter,semantic_dictionary
HVAC_KanalTipi,HVACDuctType,HVACDuctType,HVACDuctType,HVACDuctType,,HVAC_KanalTipi,param_ad,Shared Parameter,semantic_dictionary
HVAC_KapalıDevreMi,HVACIsClosedLoop,HVACIsClosedLoop,HVACIsClosedLoop,HVACIsClosedLoop,,HVAC_KapaliDevreMi,param_ad,Shared Parameter,semantic_dictionary
HVAC_SistemAdi,HVACSystemName,HVACSystemName,HVACSystemName,HVACSystemName,,HVAC_SistemAdi,param_ad,Shared Parameter,semantic_dictionary
HVAC_SistemTipi,HVACSystemType,HVACSystemType,HVACSystemType,HVACSystemType,,HVAC_SistemTipi,param_ad,Shared Parameter,semantic_dictionary
HVAC_YalitimTipi,HVACDuctInsulationType,HVACDuctInsulationType,HVACDuctInsulationType,HVACDuctInsulationType,,HVAC_YalitimTipi,param_ad,Shared Parameter,semantic_dictionary
HVAC_YangınDamperVarMi,HVACHasFireDamper,HVACHasFireDamper,HVACHasFireDamper,HVACHasFireDamper,,HVAC_YanginDamperVarMi,param_ad,Shared Parameter,semantic_dictionary
Ic,Interior,Interior,Interior,Interior,,Ic,token,Param Token,semantic_dictionary
ID,ID,ID,ID,ID,,ID,token,Param Token,semantic_dictionary
IFC,IFC,IFC,IFC,IFC,,IFC,token,Param Token,semantic_dictionary
Ifc,IFC,IFC,IFC,IFC,,Ifc,token,Param Token,semantic_dictionary
IFC aktarım notu / istisna açıklaması,IFC export note / exception description,IFC exportación nota / exception descripción,IFC exportação nota / exception descrição,IFC экспорт примечание / exception описание,,IFCaktarimnotu/istisnaaciklamasi,aciklama,Description,semantic_dictionary
IFC aktarımı kalite kontrolden geçti mi?,Has the IFC export passed quality control?,Has the IFC exportación passed quality control?,Has the IFC exportação passed quality controle?,Has the IFC экспорт passed quality контроль?,,IFCaktarimikalitekontroldengectimi?,aciklama,Description,semantic_dictionary
IFC Description alanına yazılacak açıklama,Description to write to IFC Description field,descripción to write to IFC descripción campo,descrição to write to IFC descrição campo,описание to write to IFC описание поле,,IFCDescriptionalaninayazilacakaciklama,aciklama,Description,semantic_dictionary
IFC export sınıfı (08_MEP / alt kategori),IFC export class (08_MEP / subcategory),IFC exportación clase (08_MEP / subcategory),IFC exportação classe (08_MEP / subcategory),IFC экспорт класс (08_MEP / subcategory),,IFCexportsinifi(08_MEP/altkategori),aciklama,Description,semantic_dictionary
IFC export sınıfı: 07_YAPISAL / alt kategori,IFC export class: 07_STRUCTURAL / subcategory,IFC exportación clase: 07_STRUCTURAL / subcategory,IFC exportação classe: 07_STRUCTURAL / subcategory,IFC экспорт класс: 07_STRUCTURAL / subcategory,,IFCexportsinifi:07_YAPISAL/altkategori,aciklama,Description,semantic_dictionary
IFC Name alanına yazılacak özel ad,Custom name to write to IFC Name field,Custom nombre to write to IFC nombre campo,Custom nome to write to IFC nome campo,Custom имя to write to IFC имя поле,,IFCNamealaninayazilacakozelad,aciklama,Description,semantic_dictionary
IFC ObjectType alanı,IFC ObjectType field value,IFC ObjectType campo valor,IFC ObjectType campo valor,IFC ObjectType поле значение,,IFCObjectTypealani,aciklama,Description,semantic_dictionary
IFC PredefinedType değeri,IFC PredefinedType value,IFC PredefinedType valor,IFC PredefinedType valor,IFC PredefinedType значение,,IFCPredefinedTypedegeri,aciklama,Description,semantic_dictionary
IFC sürümü (IFC2x3/IFC4/IFC4.3),IFC version (IFC2x3 / IFC4 / IFC4.3),IFC versión (IFC2x3 / IFC4 / IFC4.3),IFC versão (IFC2x3 / IFC4 / IFC4.3),IFC версия (IFC2x3 / IFC4 / IFC4.3),,IFCsurumu(IFC2x3/IFC4/IFC4.3),aciklama,Description,semantic_dictionary
IFC sürümü MEP modeli (IFC4 MEP),IFC version for MEP model (IFC4 MEP),IFC versión for MEP modelo (IFC4 MEP),IFC versão for MEP modelo (IFC4 MEP),IFC версия for MEP модель (IFC4 MEP),,IFCsurumuMEPmodeli(IFC4MEP),aciklama,Description,semantic_dictionary
IFC sınıflandırma kaynağı / yayıncısı,IFC classification source / publisher,IFC clasificación source / publisher,IFC classificação source / publisher,IFC классификация source / publisher,,IFCsiniflandirmakaynagi/yayincisi,aciklama,Description,semantic_dictionary
IFC sınıflandırma set adı,IFC classification set name,IFC clasificación set nombre,IFC classificação set nome,IFC классификация set имя,,IFCsiniflandirmasetadi,aciklama,Description,semantic_dictionary
IFC sınıflandırma sürümü,IFC classification edition / version,IFC clasificación edition / versión,IFC classificação edition / versão,IFC классификация edition / версия,,IFCsiniflandirmasurumu,aciklama,Description,semantic_dictionary
IFC sınıflandırma URI / referans linki,IFC classification URI / reference link,IFC clasificación URI / referencia enlace,IFC classificação URI / referência ligação,IFC классификация URI / ссылка ссылка,,IFCsiniflandirmaURI/referanslinki,aciklama,Description,semantic_dictionary
IFC Tag alanı,IFC Tag field value,IFC etiqueta campo valor,IFC etiqueta campo valor,IFC тег поле значение,,IFCTagalani,aciklama,Description,semantic_dictionary
IFC_AktarimNotu,IFCExportNote,IFCExportNote,IFCExportNote,IFCExportNote,,IFC_AktarimNotu,param_ad,Shared Parameter,semantic_dictionary
IFC_ClassificationEdition,IFCClassificationEdition,IFCClassificationEdition,IFCClassificationEdition,IFCClassificationEdition,,IFC_ClassificationEdition,param_ad,Shared Parameter,semantic_dictionary
IFC_ClassificationName,IFCClassificationName,IFCClassificationName,IFCClassificationName,IFCClassificationName,,IFC_ClassificationName,param_ad,Shared Parameter,semantic_dictionary
IFC_ClassificationSource,IFCClassificationSource,IFCClassificationSource,IFCClassificationSource,IFCClassificationSource,,IFC_ClassificationSource,param_ad,Shared Parameter,semantic_dictionary
IFC_ClassificationURI,IFCClassificationURI,IFCClassificationURI,IFCClassificationURI,IFCClassificationURI,,IFC_ClassificationURI,param_ad,Shared Parameter,semantic_dictionary
IFC_DescriptionOverride,IFCDescriptionOverride,IFCDescriptionOverride,IFCDescriptionOverride,IFCDescriptionOverride,,IFC_DescriptionOverride,param_ad,Shared Parameter,semantic_dictionary
IFC_Dogrulandi,IFCExportVerified,IFCExportVerified,IFCExportVerified,IFCExportVerified,,IFC_Dogrulandi,param_ad,Shared Parameter,semantic_dictionary
IFC_EntityOverride,IFCEntityOverride,IFCEntityOverride,IFCEntityOverride,IFCEntityOverride,,IFC_EntityOverride,param_ad,Shared Parameter,semantic_dictionary
IFC_ExportEt,IFCExportEt,IFCExportEt,IFCExportEt,IFCExportEt,,IFC_ExportEt,param_ad,Shared Parameter,semantic_dictionary
IFC_NameOverride,IFCNameOverride,IFCNameOverride,IFCNameOverride,IFCNameOverride,,IFC_NameOverride,param_ad,Shared Parameter,semantic_dictionary
IFC_ObjectTypeOverride,IFCObjectTypeOverride,IFCObjectTypeOverride,IFCObjectTypeOverride,IFCObjectTypeOverride,,IFC_ObjectTypeOverride,param_ad,Shared Parameter,semantic_dictionary
IFC_PredefinedType,IFCPredefinedType,IFCPredefinedType,IFCPredefinedType,IFCPredefinedType,,IFC_PredefinedType,param_ad,Shared Parameter,semantic_dictionary
IFC_PsetSeti,IFCPropertySetBundle,IFCPropertySetBundle,IFCPropertySetBundle,IFCPropertySetBundle,,IFC_PsetSeti,param_ad,Shared Parameter,semantic_dictionary
IFC_TagOverride,IFCTagOverride,IFCTagOverride,IFCTagOverride,IFCTagOverride,,IFC_TagOverride,param_ad,Shared Parameter,semantic_dictionary
IFCSurumu,IFCVersion,IFCVersion,IFCVersion,IFCVersion,,IFCSurumu,param_ad,Shared Parameter,semantic_dictionary
Iklim,Climate,Climate,Climate,Climate,,Iklim,token,Param Token,semantic_dictionary
IklimBolgesi,ClimateZone,ClimateZone,ClimateZone,ClimateZone,,IklimBolgesi,param_ad,Shared Parameter,semantic_dictionary
Il,Province,Province,Province,Province,,Il,token,Param Token,semantic_dictionary
Ilce,District,District,District,District,,Ilce,token,Param Token,semantic_dictionary
IlIlce,ProvinceDistrict,ProvinceDistrict,ProvinceDistrict,ProvinceDistrict,,IlIlce,param_ad,Shared Parameter,semantic_dictionary
ILS,ILS,ILS,ILS,ILS,,ILS,token,Param Token,semantic_dictionary
ILS_AlfanumerikSeviye,ILSAlphanumericLevel,ILSAlphanumericLevel,ILSAlphanumericLevel,ILSAlphanumericLevel,,ILS_AlfanumerikSeviye,param_ad,Shared Parameter,semantic_dictionary
ILS_BilgiGereksinimSeviyesi,ILSInformationRequirementLevel,ILSInformationRequirementLevel,ILSInformationRequirementLevel,ILSInformationRequirementLevel,,ILS_BilgiGereksinimSeviyesi,param_ad,Shared Parameter,semantic_dictionary
ILS_DogrulamaKuralSeti,ILSValidationRuleSet,ILSValidationRuleSet,ILSValidationRuleSet,ILSValidationRuleSet,,ILS_DogrulamaKuralSeti,param_ad,Shared Parameter,semantic_dictionary
ILS_DokumanBagi,ILSDocumentLink,ILSDocumentLink,ILSDocumentLink,ILSDocumentLink,,ILS_DokumanBagi,param_ad,Shared Parameter,semantic_dictionary
ILS_GeometriSeviyesi,ILSGeometryLevel,ILSGeometryLevel,ILSGeometryLevel,ILSGeometryLevel,,ILS_GeometriSeviyesi,param_ad,Shared Parameter,semantic_dictionary
ILS_TeslimAsamasi,ILSDeliveryStage,ILSDeliveryStage,ILSDeliveryStage,ILSDeliveryStage,,ILS_TeslimAsamasi,param_ad,Shared Parameter,semantic_dictionary
ILS_ZorunluAlanSeti,ILSMandatoryFieldSet,ILSMandatoryFieldSet,ILSMandatoryFieldSet,ILSMandatoryFieldSet,,ILS_ZorunluAlanSeti,param_ad,Shared Parameter,semantic_dictionary
Imalat,Work,Work,Work,Work,,Imalat,token,Param Token,semantic_dictionary
ImalatFasi,ConstructionPhase,ConstructionPhase,ConstructionPhase,ConstructionPhase,,ImalatFasi,param_ad,Shared Parameter,semantic_dictionary
Imar,Zoning,Zoning,Zoning,Zoning,,Imar,token,Param Token,semantic_dictionary
ImarDurumu,ZoningStatus,ZoningStatus,ZoningStatus,ZoningStatus,,ImarDurumu,param_ad,Shared Parameter,semantic_dictionary
IMO sicil no,Chamber of Civil Engineers license number,Chamber of Civil Engineers license número,Chamber of Civil Engineers license número,Chamber of Civil Engineers license номер,,IMOsicilno,aciklama,Description,semantic_dictionary
Insaat,Construction,Construction,Construction,Construction,,Insaat,token,Param Token,semantic_dictionary
IP adresi (ağ cihazları için),IP address (for networked devices),IP address (for networked devices),IP address (for networked devices),IP address (for networked devices),,IPadresi(agcihazlariicin),aciklama,Description,semantic_dictionary
Is,Is,Is,Is,Is,,Is,token,Param Token,semantic_dictionary
IsDisEleman,IsExteriorElement,IsExteriorElement,IsExteriorElement,IsExteriorElement,,IsDisEleman,param_ad,Shared Parameter,semantic_dictionary
IsExternal niteliği kontrol edildi mi?,Has the IsExternal attribute been checked?,Has the IsExternal attribute been revisado?,Has the IsExternal attribute been verificado?,Has the IsExternal attribute been проверено?,,IsExternalniteligikontroledildimi?,aciklama,Description,semantic_dictionary
IsGrubu,WorkGroup,WorkGroup,WorkGroup,WorkGroup,,IsGrubu,param_ad,Shared Parameter,semantic_dictionary
ISI_BasincSinifi,HeatCoolPressureClass,HeatCoolPressureClass,HeatCoolPressureClass,HeatCoolPressureClass,,ISI_BasincSinifi,param_ad,Shared Parameter,semantic_dictionary
ISI_BorCap,HeatCoolPipeDiameter,HeatCoolPipeDiameter,HeatCoolPipeDiameter,HeatCoolPipeDiameter,,ISI_BorCap,param_ad,Shared Parameter,semantic_dictionary
ISI_BorMalzeme,HeatCoolPipeMaterial,HeatCoolPipeMaterial,HeatCoolPipeMaterial,HeatCoolPipeMaterial,,ISI_BorMalzeme,param_ad,Shared Parameter,semantic_dictionary
ISI_DonusScakligi,HeatCoolReturnTemperature,HeatCoolReturnTemperature,HeatCoolReturnTemperature,HeatCoolReturnTemperature,,ISI_DonusScakligi,param_ad,Shared Parameter,semantic_dictionary
ISI_GirisScakligi,HeatCoolSupplyTemperature,HeatCoolSupplyTemperature,HeatCoolSupplyTemperature,HeatCoolSupplyTemperature,,ISI_GirisScakligi,param_ad,Shared Parameter,semantic_dictionary
ISI_IsıtmaDebi,HeatCoolHeatingFlowRate,HeatCoolHeatingFlowRate,HeatCoolHeatingFlowRate,HeatCoolHeatingFlowRate,,ISI_IsitmaDebi,param_ad,Shared Parameter,semantic_dictionary
ISI_KazanTipi,HeatCoolBoilerType,HeatCoolBoilerType,HeatCoolBoilerType,HeatCoolBoilerType,,ISI_KazanTipi,param_ad,Shared Parameter,semantic_dictionary
ISI_SistemAdi,HeatCoolSystemName,HeatCoolSystemName,HeatCoolSystemName,HeatCoolSystemName,,ISI_SistemAdi,param_ad,Shared Parameter,semantic_dictionary
ISI_SistemTipi,HeatCoolSystemType,HeatCoolSystemType,HeatCoolSystemType,HeatCoolSystemType,,ISI_SistemTipi,param_ad,Shared Parameter,semantic_dictionary
ISI_SogutmaDebi,HeatCoolCoolingFlowRate,HeatCoolCoolingFlowRate,HeatCoolCoolingFlowRate,HeatCoolCoolingFlowRate,,ISI_SogutmaDebi,param_ad,Shared Parameter,semantic_dictionary
ISI_YalitimTipi,HeatCoolPipeInsulationType,HeatCoolPipeInsulationType,HeatCoolPipeInsulationType,HeatCoolPipeInsulationType,,ISI_YalitimTipi,param_ad,Shared Parameter,semantic_dictionary
Isitma,Heating,Heating,Heating,Heating,,Isitma,token,Param Token,semantic_dictionary
IsitmaSistemi,HeatingSystem,HeatingSystem,HeatingSystem,HeatingSystem,,IsitmaSistemi,param_ad,Shared Parameter,semantic_dictionary
Isletim,Occupancy,Occupancy,Occupancy,Occupancy,,Isletim,token,Param Token,semantic_dictionary
IsletimSertifikasi,OccupancyCertificate,OccupancyCertificate,OccupancyCertificate,OccupancyCertificate,,IsletimSertifikasi,param_ad,Shared Parameter,semantic_dictionary
Isletme,Operations,Operations,Operations,Operations,,Isletme,token,Param Token,semantic_dictionary
IsletmeBolgesi,OperationsZone,OperationsZone,OperationsZone,OperationsZone,,IsletmeBolgesi,param_ad,Shared Parameter,semantic_dictionary
