SemanticAnahtar,StandartParametre_TR,StandartParametre_EN,KaynakDil,KaynakIfade,Description_TR,Description_EN,DataType,GroupName,CeviriKaynagi,GozdenGecirmeDurumu,EN_GroupName
yap_denet_firmasi,TR_YapDenetFirmasi,EN_BuildingInspectionCompany,tr,TR_YapDenetFirmasi,Yapı denetim kuruluşu adı,Building inspection organization name,TEXT,TR-YAPI DENETİM,shared_param_definition,guncellendi,EN-BUILDING INSPECTION
yap_denet_firma_yet_no,TR_YapDenetFirmaYetNo,EN_BuildingInspectionAuthorizationNumber,tr,TR_YapDenetFirmaYetNo,Yapı denetim yetki belgesi no,Building inspection authorization certificate number,TEXT,TR-YAPI DENETİM,shared_param_definition,guncellendi,EN-BUILDING INSPECTION
ruhsat_no,TR_RuhsatNo,EN_PermitNumber,tr,TR_RuhsatNo,Yapı ruhsatı numarası,Building permit number,TEXT,TR-YAPI DENETİM,shared_param_definition,guncellendi,EN-BUILDING INSPECTION
ruhsat_tarihi,TR_RuhsatTarihi,EN_PermitDate,tr,TR_RuhsatTarihi,Yapı ruhsatı tarihi,Building permit date,TEXT,TR-YAPI DENETİM,shared_param_definition,guncellendi,EN-BUILDING INSPECTION
muteahhit_unvani,TR_MuteahhitUnvani,EN_ContractorTitle,tr,TR_MuteahhitUnvani,Müteahhit firma ünvanı,Contractor company title,TEXT,TR-YAPI DENETİM,shared_param_definition,guncellendi,EN-BUILDING INSPECTION
muteahhit_ykn,TR_MuteahhitYKN,EN_ContractorBuildingIdentityNumber,tr,TR_MuteahhitYKN,Müteahhit YKN (Yapı Kimlik No),Contractor YKN (Building Identity Number),TEXT,TR-YAPI DENETİM,shared_param_definition,guncellendi,EN-BUILDING INSPECTION
isveren_vergi_no,TR_IsverenVergiNo,EN_EmployerTaxNumber,tr,TR_IsverenVergiNo,İşveren vergi / TC kimlik no,Employer tax ID / national ID number,TEXT,TR-YAPI DENETİM,shared_param_definition,guncellendi,EN-BUILDING INSPECTION
yapi_seviyesi,TR_YapiSeviyesi,EN_BuildingLevel,tr,TR_YapiSeviyesi,Yapı seviyesi: Temel/Kaba/İnce/Teslim,Construction stage: Foundation / Structural / Finishing / Handover,TEXT,TR-YAPI DENETİM,shared_param_definition,guncellendi,EN-BUILDING INSPECTION
il_ilce,TR_IlIlce,EN_ProvinceDistrict,tr,TR_IlIlce,İl / İlçe adı,Province / district name,TEXT,TR-İMAR BİLGİLERİ,shared_param_definition,guncellendi,EN-ZONING INFO
ada_no,TR_AdaNo,EN_BlockNumber,tr,TR_AdaNo,Ada numarası,Block (ada) number,TEXT,TR-İMAR BİLGİLERİ,shared_param_definition,guncellendi,EN-ZONING INFO
parsel_no,TR_ParselNo,EN_ParcelNumber,tr,TR_ParselNo,Parsel numarası,Parcel number,TEXT,TR-İMAR BİLGİLERİ,shared_param_definition,guncellendi,EN-ZONING INFO
taks,TR_TAKS,EN_TAKS,tr,TR_TAKS,Taban alanı kat sayısı TAKS,Ground coverage ratio TAKS,NUMBER,TR-İMAR BİLGİLERİ,shared_param_definition,guncellendi,EN-ZONING INFO
kaks,TR_KAKS,EN_KAKS,tr,TR_KAKS,Kat alanı kat sayısı KAKS (EMSAL),Floor area ratio KAKS (FAR / EMSAL),NUMBER,TR-İMAR BİLGİLERİ,shared_param_definition,guncellendi,EN-ZONING INFO
max_yukseklik,TR_MaxYukseklik,EN_MaximumHeight,tr,TR_MaxYukseklik,İmar maks. bina yüksekliği (m),Zoning maximum building height (m),LENGTH,TR-İMAR BİLGİLERİ,shared_param_definition,guncellendi,EN-ZONING INFO
on_cekme_mesafesi,TR_OnCekmeMesafesi,EN_FrontSetbackDistance,tr,TR_OnCekmeMesafesi,Ön cephe çekme mesafesi (m),Front setback distance (m),LENGTH,TR-İMAR BİLGİLERİ,shared_param_definition,guncellendi,EN-ZONING INFO
yan_cekme_mesafesi,TR_YanCekmeMesafesi,EN_SideSetbackDistance,tr,TR_YanCekmeMesafesi,Yan cephe çekme mesafesi (m),Side setback distance (m),LENGTH,TR-İMAR BİLGİLERİ,shared_param_definition,guncellendi,EN-ZONING INFO
arka_kcekme_mesafesi,TR_ArkaKcekmeMesafesi,EN_RearSetbackDistance,tr,TR_ArkaKcekmeMesafesi,Arka cephe çekme mesafesi (m),Rear setback distance (m),LENGTH,TR-İMAR BİLGİLERİ,shared_param_definition,guncellendi,EN-ZONING INFO
imar_durumu,TR_ImarDurumu,EN_ZoningStatus,tr,TR_ImarDurumu,İmar durumu belgesi no,Zoning status certificate number,TEXT,TR-İMAR BİLGİLERİ,shared_param_definition,guncellendi,EN-ZONING INFO
lodseviyesi,TR_LODSeviyesi,EN_LODLevel,tr,TR_LODSeviyesi,LOD seviyesi (100/200/300/350/400/500),LOD level (100/200/300/350/400/500),TEXT,TR-BIM YÖNETİM,shared_param_definition,guncellendi,EN-BIM MANAGEMENT
loiseviyesi,TR_LOISeviyesi,EN_LOILevel,tr,TR_LOISeviyesi,LOI seviyesi (bilgi detay seviyesi),LOI level (information detail level),TEXT,TR-BIM YÖNETİM,shared_param_definition,guncellendi,EN-BIM MANAGEMENT
disiplin,TR_Disiplin,EN_Discipline,tr,TR_Disiplin,Disiplin kodu (MIM/INS/MEK/ELK/YAN),Discipline code (ARCH / STRUCT / MECH / ELEC / FIRE),TEXT,TR-BIM YÖNETİM,shared_param_definition,guncellendi,EN-BIM MANAGEMENT
ifcsurumu,TR_IFCSurumu,EN_IFCVersion,tr,TR_IFCSurumu,IFC sürümü (IFC2x3/IFC4/IFC4.3),IFC version (IFC2x3 / IFC4 / IFC4.3),TEXT,TR-BIM YÖNETİM,shared_param_definition,guncellendi,EN-BIM MANAGEMENT
koordinat_sistemi,TR_KoordinatSistemi,EN_CoordinateSystem,tr,TR_KoordinatSistemi,Koordinat sistemi (ITRF96 Türkiye),Coordinate system (ITRF96 Turkey),TEXT,TR-BIM YÖNETİM,shared_param_definition,guncellendi,EN-BIM MANAGEMENT
model_durumu,TR_ModelDurumu,EN_ModelStatus,tr,TR_ModelDurumu,Model durum kodu S0/S1/S2/S3/S4,Model status code S0/S1/S2/S3/S4,TEXT,TR-BIM YÖNETİM,shared_param_definition,guncellendi,EN-BIM MANAGEMENT
olusturma_tarihi,TR_OlusturmaTarihi,EN_CreationDate,tr,TR_OlusturmaTarihi,Model oluşturma tarihi (YYYY-AA-GG),Model creation date (YYYY-MM-DD),TEXT,TR-BIM YÖNETİM,shared_param_definition,guncellendi,EN-BIM MANAGEMENT
son_guncelleme_tarihi,TR_SonGuncellemeTarihi,EN_LastUpdateDate,tr,TR_SonGuncellemeTarihi,Son güncelleme tarihi,Last update date,TEXT,TR-BIM YÖNETİM,shared_param_definition,guncellendi,EN-BIM MANAGEMENT
model_sorumlusu,TR_ModelSorumlusu,EN_ModelManager,tr,TR_ModelSorumlusu,BIM model sorumlusu adı,BIM model manager name,TEXT,TR-BIM YÖNETİM,shared_param_definition,guncellendi,EN-BIM MANAGEMENT
faz_bilgisi,TR_FazBilgisi,EN_PhaseInformation,tr,TR_FazBilgisi,Proje fazı (Var/Yıkılacak/Yeni İnşaat),Project phase (Existing / To be demolished / New construction),TEXT,TR-BIM YÖNETİM,shared_param_definition,guncellendi,EN-BIM MANAGEMENT
b_sgrup,bSTR_Grup,EN_bSTRGroupCode,tr,bSTR_Grup,bSTR grup kodu (Bakanlık CADD standardı),bSTR group code (Ministry CADD standard),TEXT,TR-BIM YÖNETİM,shared_param_definition,guncellendi,EN-BIM MANAGEMENT
b_slod,bSTR_LOD,EN_bSTRLodLevel,tr,bSTR_LOD,bSTR LOD seviyesi,bSTR LOD level,TEXT,TR-BIM YÖNETİM,shared_param_definition,guncellendi,EN-BIM MANAGEMENT
b_sdisiplin,bSTR_Disiplin,EN_bSTRDisciplineCode,tr,bSTR_Disiplin,bSTR disiplin kodu,bSTR discipline code,TEXT,TR-BIM YÖNETİM,shared_param_definition,guncellendi,EN-BIM MANAGEMENT
b_skod,bSTR_Kod,EN_bSTRElementCode,tr,bSTR_Kod,"bSTR eleman kodu (örn: S-BET-09, M-DUV-01)","bSTR element code (e.g. S-BET-09, M-DUV-01)",TEXT,TR-BIM YÖNETİM,shared_param_definition,guncellendi,EN-BIM MANAGEMENT
b_seleman,bSTR_Eleman,EN_bSTRElementName,tr,bSTR_Eleman,bSTR eleman adı,bSTR element name,TEXT,TR-BIM YÖNETİM,shared_param_definition,guncellendi,EN-BIM MANAGEMENT
duvar_tipi,TR_DuvarTipi,EN_WallType,tr,TR_DuvarTipi,Duvar tipi: Dış/İç/Yangın/Strüktürel,Wall type: External / Internal / Fire / Structural,TEXT,TR-DUVAR ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WALL PROPERTIES
duvar_kalinligi,TR_DuvarKalinligi,EN_WallThickness,tr,TR_DuvarKalinligi,Duvar toplam kalınlığı (mm),Total wall thickness (mm),LENGTH,TR-DUVAR ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WALL PROPERTIES
duvar_yapim_turu,TR_DuvarYapimTuru,EN_WallConstructionType,tr,TR_DuvarYapimTuru,Yapım türü: Tuğla/YTong/Beton/Çelik vb,Construction type: Brick / Ytong / Concrete / Steel etc.,TEXT,TR-DUVAR ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WALL PROPERTIES
duvar_yalitim_tipi,TR_DuvarYalitimTipi,EN_WallInsulationType,tr,TR_DuvarYalitimTipi,Isı yalıtım tipi ve kalınlığı,Thermal insulation type and thickness,TEXT,TR-DUVAR ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WALL PROPERTIES
duvar_rei,TR_DuvarREI,EN_WallREI,tr,TR_DuvarREI,Yangın direnç sınıfı REI-30/60/90/120,Fire resistance class REI-30/60/90/120,TEXT,TR-DUVAR ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WALL PROPERTIES
duvar_ses_yalitim,TR_DuvarSesYalitim,EN_WallAcousticInsulation,tr,TR_DuvarSesYalitim,Ses yalıtım değeri Rw (dB),Sound insulation value Rw (dB),NUMBER,TR-DUVAR ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WALL PROPERTIES
duvar_udegeri,TR_DuvarUDegeri,EN_WallUValue,tr,TR_DuvarUDegeri,U değeri (W/m2K),U value (W/m2K),NUMBER,TR-DUVAR ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WALL PROPERTIES
duvar_dis_kaplama,TR_DuvarDisKaplama,EN_WallExteriorCladding,tr,TR_DuvarDisKaplama,Dış kaplama malzemesi,External cladding material,TEXT,TR-DUVAR ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WALL PROPERTIES
duvar_ic_kaplama,TR_DuvarIcKaplama,EN_WallInteriorCladding,tr,TR_DuvarIcKaplama,İç kaplama malzemesi,Internal cladding material,TEXT,TR-DUVAR ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WALL PROPERTIES
duvar_poz_no,TR_DuvarPozNo,EN_WallItemNumber,tr,TR_DuvarPozNo,ÇŞB poz numarası,MoEUA unit price item number,TEXT,TR-DUVAR ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WALL PROPERTIES
kapi_tipi,TR_KapiTipi,EN_DoorType,tr,TR_KapiTipi,Kapı tipi: Ahşap/Çelik/Alüm/Cam/PVC,Door type: Timber / Steel / Aluminium / Glass / PVC,TEXT,TR-KAPI ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-DOOR PROPERTIES
kapi_genislik,TR_KapiGenislik,EN_DoorWidth,tr,TR_KapiGenislik,Kapı serbest geçiş genişliği (mm),Door clear passage width (mm),LENGTH,TR-KAPI ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-DOOR PROPERTIES
kapi_yukseklik,TR_KapiYukseklik,EN_DoorHeight,tr,TR_KapiYukseklik,Kapı yüksekliği (mm),Door height (mm),LENGTH,TR-KAPI ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-DOOR PROPERTIES
kapi_yangin_sinifi,TR_KapiYangınSinifi,EN_DoorFireClass,tr,TR_KapiYangınSinifi,Yangın sınıfı: EI30/EI60/EI90/EI120,Fire class: EI30/EI60/EI90/EI120,TEXT,TR-KAPI ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-DOOR PROPERTIES
kapi_engelli,TR_KapiEngelli,EN_DoorAccessible,tr,TR_KapiEngelli,Engelliye uygun kapı mı? (TS 9111),Is it an accessible door? (TS 9111),YESNO,TR-KAPI ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-DOOR PROPERTIES
kapi_panik_bar,TR_KapiPanikBar,EN_DoorPanicBar,tr,TR_KapiPanikBar,Panik bar var mı?,Is there a panic bar?,YESNO,TR-KAPI ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-DOOR PROPERTIES
kapi_acilis_yonu,TR_KapiAcilisYonu,EN_DoorOpeningDirection,tr,TR_KapiAcilisYonu,Açılış yönü: İçe/Dışa/Sürgülü/Döner,Opening direction: Inward / Outward / Sliding / Revolving,TEXT,TR-KAPI ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-DOOR PROPERTIES
kapi_kilit_tipi,TR_KapiKilitTipi,EN_DoorLockType,tr,TR_KapiKilitTipi,Kilit tipi ve aksesuar bilgisi,Lock type and hardware information,TEXT,TR-KAPI ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-DOOR PROPERTIES
kapi_uretici,TR_KapiUretici,EN_DoorManufacturer,tr,TR_KapiUretici,Üretici firma ve ürün kodu,Manufacturer company and product code,TEXT,TR-KAPI ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-DOOR PROPERTIES
kapi_poz_no,TR_KapiPozNo,EN_DoorItemNumber,tr,TR_KapiPozNo,ÇŞB poz numarası,MoEUA unit price item number,TEXT,TR-KAPI ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-DOOR PROPERTIES
kapi_udegeri,TR_KapiUDegeri,EN_DoorUValue,tr,TR_KapiUDegeri,Kapı Ud değeri (W/m2K),Door Ud value (W/m2K),NUMBER,TR-KAPI ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-DOOR PROPERTIES
kapi_ses_yalitim,TR_KapiSesYalitim,EN_DoorAcousticInsulation,tr,TR_KapiSesYalitim,Ses yalıtım değeri Rw (dB),Sound insulation value Rw (dB),NUMBER,TR-KAPI ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-DOOR PROPERTIES
pencere_tipi,TR_PencereTipi,EN_WindowType,tr,TR_PencereTipi,Pencere tipi: Alüm/PVC/Ahşap/Cam Giyd,Window type: Aluminium / PVC / Timber / Curtain wall,TEXT,TR-PENCERE ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WINDOW PROPERTIES
pencere_genislik,TR_PencereGenislik,EN_WindowWidth,tr,TR_PencereGenislik,Pencere genişliği (mm),Window width (mm),LENGTH,TR-PENCERE ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WINDOW PROPERTIES
pencere_yukseklik,TR_PencereYukseklik,EN_WindowHeight,tr,TR_PencereYukseklik,Pencere yüksekliği (mm),Window height (mm),LENGTH,TR-PENCERE ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WINDOW PROPERTIES
pencere_cam_tipi,TR_PencereCamTipi,EN_WindowGlassType,tr,TR_PencereCamTipi,Cam tipi: Isıcam 4+16+4 vb,Glazing type: Double glazed 4+16+4 etc.,TEXT,TR-PENCERE ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WINDOW PROPERTIES
pencere_udegeri,TR_PencereUDegeri,EN_WindowUValue,tr,TR_PencereUDegeri,Uw değeri (W/m2K) TS 825,Uw value (W/m2K) per TS 825,NUMBER,TR-PENCERE ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WINDOW PROPERTIES
pencere_shgc,TR_PencereSHGC,EN_WindowSHGC,tr,TR_PencereSHGC,Güneş ısı kazanım katsayısı SHGC/g,Solar heat gain coefficient SHGC/g,NUMBER,TR-PENCERE ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WINDOW PROPERTIES
pencere_acilma_tipi,TR_PencereAcilmaTipi,EN_WindowOpeningType,tr,TR_PencereAcilmaTipi,Açılma tipi: Sabit/Kanatlı/Sürgülü,Opening type: Fixed / Casement / Sliding,TEXT,TR-PENCERE ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WINDOW PROPERTIES
pencere_cerceve_sistemi,TR_PencereCerceveSistemi,EN_WindowFrameSystem,tr,TR_PencereCerceveSistemi,Çerçeve sistemi (60mm/70mm/80mm sistem),Frame system (60mm / 70mm / 80mm profile),TEXT,TR-PENCERE ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WINDOW PROPERTIES
pencere_ses_yalitim,TR_PencereSesYalitim,EN_WindowAcousticInsulation,tr,TR_PencereSesYalitim,Ses yalıtım değeri Rw (dB),Sound insulation value Rw (dB),NUMBER,TR-PENCERE ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WINDOW PROPERTIES
pencere_poz_no,TR_PencerePozNo,EN_WindowItemNumber,tr,TR_PencerePozNo,ÇŞB poz numarası,MoEUA unit price item number,TEXT,TR-PENCERE ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WINDOW PROPERTIES
pencere_uretici,TR_PencereUretici,EN_WindowManufacturer,tr,TR_PencereUretici,Üretici firma ve ürün kodu,Manufacturer company and product code,TEXT,TR-PENCERE ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WINDOW PROPERTIES
pencere_emniyet,TR_PencereEmniyet,EN_WindowSafetyGlazing,tr,TR_PencereEmniyet,Emniyet camı var mı? (lamine/temperli),Is there safety glazing? (laminated / tempered),YESNO,TR-PENCERE ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-WINDOW PROPERTIES
doseme_tipi,TR_DosemeTipi,EN_FloorType,tr,TR_DosemeTipi,Döşeme tipi: Betonarme/Kompozit/Ahşap,Floor type: Reinforced concrete / Composite / Timber,TEXT,TR-DÖŞEME ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-FLOOR PROPERTIES
doseme_kalinligi,TR_DosemeKalinligi,EN_FloorThickness,tr,TR_DosemeKalinligi,Döşeme toplam kalınlığı (mm),Total floor slab thickness (mm),LENGTH,TR-DÖŞEME ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-FLOOR PROPERTIES
doseme_kaplama,TR_DosemeKaplama,EN_FloorFinishMaterial,tr,TR_DosemeKaplama,Kaplama malzemesi: Seramik/Granit/Ahşap,Floor finish material: Ceramic / Granite / Timber,TEXT,TR-DÖŞEME ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-FLOOR PROPERTIES
doseme_rei,TR_DosemeREI,EN_FloorREI,tr,TR_DosemeREI,Yangın direnç sınıfı REI,Fire resistance class REI,TEXT,TR-DÖŞEME ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-FLOOR PROPERTIES
doseme_su_yalitim,TR_DosemeSuYalitim,EN_FloorWaterproofing,tr,TR_DosemeSuYalitim,Su yalıtımı var mı?,Is there waterproofing?,YESNO,TR-DÖŞEME ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-FLOOR PROPERTIES
doseme_isi_yalitim,TR_DosemeIsıYalitim,EN_FloorThermalInsulation,tr,TR_DosemeIsıYalitim,Isı yalıtım tipi ve kalınlığı,Thermal insulation type and thickness,TEXT,TR-DÖŞEME ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-FLOOR PROPERTIES
doseme_udegeri,TR_DosemeUDegeri,EN_FloorUValue,tr,TR_DosemeUDegeri,U değeri (W/m2K),U value (W/m2K),NUMBER,TR-DÖŞEME ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-FLOOR PROPERTIES
doseme_ses_yalitim,TR_DosemeSesYalitim,EN_FloorAcousticInsulation,tr,TR_DosemeSesYalitim,Ses yalıtım değeri (dB),Sound insulation value (dB),NUMBER,TR-DÖŞEME ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-FLOOR PROPERTIES
doseme_poz_no,TR_DosemePozNo,EN_FloorItemNumber,tr,TR_DosemePozNo,ÇŞB poz numarası,MoEUA unit price item number,TEXT,TR-DÖŞEME ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-FLOOR PROPERTIES
doseme_yuk_kapasitesi,TR_DosemeYukKapasitesi,EN_FloorLoadCapacity,tr,TR_DosemeYukKapasitesi,Tasarım yük kapasitesi (kN/m2),Design load capacity (kN/m2),NUMBER,TR-DÖŞEME ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-FLOOR PROPERTIES
cati_tipi,TR_CatiTipi,EN_RoofType,tr,TR_CatiTipi,Çatı tipi: Eğimli/Düz/Yeşil/Kombine,Roof type: Pitched / Flat / Green / Combined,TEXT,TR-ÇATI ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-ROOF PROPERTIES
cati_egimi,TR_CatiEgimi,EN_RoofSlope,tr,TR_CatiEgimi,Çatı eğimi (%),Roof slope (%),NUMBER,TR-ÇATI ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-ROOF PROPERTIES
cati_kaplama,TR_CatiKaplama,EN_RoofCladding,tr,TR_CatiKaplama,Çatı kaplama malzemesi,Roof cladding material,TEXT,TR-ÇATI ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-ROOF PROPERTIES
cati_su_yalitim,TR_CatiSuYalitim,EN_RoofWaterproofing,tr,TR_CatiSuYalitim,Su yalıtım sistemi tipi,Waterproofing system type,TEXT,TR-ÇATI ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-ROOF PROPERTIES
cati_isi_yalitim,TR_CatiIsıYalitim,EN_RoofThermalInsulation,tr,TR_CatiIsıYalitim,Isı yalıtım tipi ve kalınlığı,Thermal insulation type and thickness,TEXT,TR-ÇATI ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-ROOF PROPERTIES
cati_udegeri,TR_CatiUDegeri,EN_RoofUValue,tr,TR_CatiUDegeri,U değeri (W/m2K),U value (W/m2K),NUMBER,TR-ÇATI ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-ROOF PROPERTIES
cati_rei,TR_CatiREI,EN_RoofREI,tr,TR_CatiREI,Yangın direnç sınıfı REI,Fire resistance class REI,TEXT,TR-ÇATI ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-ROOF PROPERTIES
cati_poz_no,TR_CatiPozNo,EN_RoofItemNumber,tr,TR_CatiPozNo,ÇŞB poz numarası,MoEUA unit price item number,TEXT,TR-ÇATI ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-ROOF PROPERTIES
ts500_standart_surum,TR_TS500_StandartSurum,EN_TS500StandardEdition,tr,TR_TS500_StandartSurum,TS 500 sürümü (TS 500:2000+A1:2018),TS 500 edition (TS 500:2000+A1:2018),TEXT,TR-TS500 GENEL BETONARME,shared_param_definition,guncellendi,EN-TS500 GENERAL RC
beton_sinifi_proje,TR_BetonSinifi_Proje,EN_ConcreteClassProject,tr,TR_BetonSinifi_Proje,Projede kullanılan beton sınıfları (C25/30 vb),Concrete classes used in project (C25/30 etc.),TEXT,TR-TS500 GENEL BETONARME,shared_param_definition,guncellendi,EN-TS500 GENERAL RC
donati_celigi_sinifi_proje,TR_DonatiCeligiSinifi_Proje,EN_RebarSteelClassProject,tr,TR_DonatiCeligiSinifi_Proje,Donatı çeliği sınıfı (B420C / B500C),Reinforcement steel class (B420C / B500C),TEXT,TR-TS500 GENEL BETONARME,shared_param_definition,guncellendi,EN-TS500 GENERAL RC
cevre_etki_sinifi,TR_CevreEtkiSinifi,EN_ExposureClass,tr,TR_CevreEtkiSinifi,Çevre etki sınıfı (XC1-XC4 / XS / XD / XF),Exposure class (XC1-XC4 / XS / XD / XF),TEXT,TR-TS500 GENEL BETONARME,shared_param_definition,guncellendi,EN-TS500 GENERAL RC
yapi_tasiyici_sistem_sinifi,TR_YapiTasiyiciSistemSinifi,EN_BuildingStructuralSystemClass,tr,TR_YapiTasiyiciSistemSinifi,Taşıyıcı sistem sınıfı (TBDY: BYS-1..8),Structural system class (TBDY: BYS-1..8),TEXT,TR-TS500 GENEL BETONARME,shared_param_definition,guncellendi,EN-TS500 GENERAL RC
analiz_yontemi,TR_AnalizYontemi,EN_AnalysisMethod,tr,TR_AnalizYontemi,Analiz yöntemi (Mod Birlest./Zaman Tanım/İtme),Analysis method (Modal Combination / Time History / Pushover),TEXT,TR-TS500 GENEL BETONARME,shared_param_definition,guncellendi,EN-TS500 GENERAL RC
statik_model_versiyonu,TR_StatikModelVersiyonu,EN_StructuralModelVersion,tr,TR_StatikModelVersiyonu,Statik model versiyon no (SAP2000/ETABS vb),Structural model version number (SAP2000/ETABS etc.),TEXT,TR-TS500 GENEL BETONARME,shared_param_definition,guncellendi,EN-TS500 GENERAL RC
hesap_rapor_no,TR_HesapRaporNo,EN_CalculationReportNumber,tr,TR_HesapRaporNo,Statik hesap raporu belge numarası,Structural calculation report document number,TEXT,TR-TS500 GENEL BETONARME,shared_param_definition,guncellendi,EN-TS500 GENERAL RC
revizyon_statik,TR_RevizyonStatik,EN_StructuralRevision,tr,TR_RevizyonStatik,Statik revizyon kodu ve tarihi,Structural revision code and date,TEXT,TR-TS500 GENEL BETONARME,shared_param_definition,guncellendi,EN-TS500 GENERAL RC
ba_eleman_kodu,TR_BA_ElemanKodu,EN_RCElementCode,tr,TR_BA_ElemanKodu,"BA eleman kodu (K01, P01, KR01, D01, T01)","RC element code (C01, B01, SW01, S01, F01)",TEXT,TR-TS500 BA ELEMAN ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-TS500 RC ELEMENT PROPERTIES
ba_eleman_tipi,TR_BA_ElemanTipi,EN_BAElementType,tr,TR_BA_ElemanTipi,Kolon / Kiriş / Perde / Döşeme / Temel,Column / Beam / Shear wall / Slab / Foundation,TEXT,TR-TS500 BA ELEMAN ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-TS500 RC ELEMENT PROPERTIES
ba_tasiyici_sistem_alt_turu,TR_BA_TasiyiciSistemAltTuru,EN_RCStructuralSubType,tr,TR_BA_TasiyiciSistemAltTuru,Alt tür: Çerçeve/Perde+Çerçeve/Perdeli/Tüp,Sub-type: Frame / Dual / Shear wall / Tube,TEXT,TR-TS500 BA ELEMAN ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-TS500 RC ELEMENT PROPERTIES
ba_beton_sinifi,TR_BA_BetonSinifi,EN_RCConcreteClass,tr,TR_BA_BetonSinifi,"Bu elemana ait beton sınıfı (C25/30, C30/37)","Concrete class for this element (C25/30, C30/37)",TEXT,TR-TS500 BA ELEMAN ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-TS500 RC ELEMENT PROPERTIES
ba_donati_sinifi,TR_BA_DonatiSinifi,EN_RCRebarClass,tr,TR_BA_DonatiSinifi,Donatı sınıfı (B420C / B500C),Reinforcement class (B420C / B500C),TEXT,TR-TS500 BA ELEMAN ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-TS500 RC ELEMENT PROPERTIES
ba_nominal_beton_ortusu,TR_BA_NominalBetonOrtusu,EN_RCNominalCover,tr,TR_BA_NominalBetonOrtusu,Nominal beton örtüsü (mm) — TS 500 Tablo 3,Nominal concrete cover (mm) per TS 500 Table 3,LENGTH,TR-TS500 BA ELEMAN ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-TS500 RC ELEMENT PROPERTIES
ba_kesit_genislik,TR_BA_KesitGenislik,EN_RCSectionWidth,tr,TR_BA_KesitGenislik,Kesit genişliği b (mm),Section width b (mm),LENGTH,TR-TS500 BA ELEMAN ÖZELLİKLERİ,shared_param_definition,guncellendi,EN-TS500 RC ELEMENT PROPERTIES
